1: epsilon=0.1, alpha=1e-05, gamma=0.2: avg_reward=-0.5134300000000004
2: epsilon=0.1, alpha=1e-05, gamma=0.4: avg_reward=-0.46216
3: epsilon=0.1, alpha=1e-05, gamma=0.6: avg_reward=-0.4439199999999981
4: epsilon=0.1, alpha=1e-05, gamma=0.8: avg_reward=-0.49005
5: epsilon=0.1, alpha=0.0001, gamma=0.2: avg_reward=-0.4105500000000002
6: epsilon=0.1, alpha=0.0001, gamma=0.4: avg_reward=-0.4348400000000003
7: epsilon=0.1, alpha=0.0001, gamma=0.6: avg_reward=-0.4422600000000007
8: epsilon=0.1, alpha=0.0001, gamma=0.8: avg_reward=-0.4926899999999998
9: epsilon=0.1, alpha=0.001, gamma=0.2: avg_reward=-0.31368000000000257
10: epsilon=0.1, alpha=0.001, gamma=0.4: avg_reward=-0.3191199999999977
11: epsilon=0.1, alpha=0.001, gamma=0.6: avg_reward=-0.3280900000000023
12: epsilon=0.1, alpha=0.001, gamma=0.8: avg_reward=-0.3150200000000003
13: epsilon=0.1, alpha=0.01, gamma=0.2: avg_reward=-0.1484899999999997
14: epsilon=0.1, alpha=0.01, gamma=0.4: avg_reward=-0.16823999999999892
15: epsilon=0.1, alpha=0.01, gamma=0.6: avg_reward=-0.17443000000000128
16: epsilon=0.1, alpha=0.01, gamma=0.8: avg_reward=-0.1947700000000006
17: epsilon=0.2, alpha=1e-05, gamma=0.2: avg_reward=-0.4436400000000002
18: epsilon=0.2, alpha=1e-05, gamma=0.4: avg_reward=-0.4938900000000003
19: epsilon=0.2, alpha=1e-05, gamma=0.6: avg_reward=-0.4187499999999993
20: epsilon=0.2, alpha=1e-05, gamma=0.8: avg_reward=-0.42160999999999965
21: epsilon=0.2, alpha=0.0001, gamma=0.2: avg_reward=-0.41039999999999854
22: epsilon=0.2, alpha=0.0001, gamma=0.4: avg_reward=-0.4263700000000004
23: epsilon=0.2, alpha=0.0001, gamma=0.6: avg_reward=-0.41677
24: epsilon=0.2, alpha=0.0001, gamma=0.8: avg_reward=-0.44873999999999986
25: epsilon=0.2, alpha=0.001, gamma=0.2: avg_reward=-0.31634999999999697
26: epsilon=0.2, alpha=0.001, gamma=0.4: avg_reward=-0.33632999999999896
27: epsilon=0.2, alpha=0.001, gamma=0.6: avg_reward=-0.32334000000000296
28: epsilon=0.2, alpha=0.001, gamma=0.8: avg_reward=-0.31376000000000126
29: epsilon=0.2, alpha=0.01, gamma=0.2: avg_reward=-0.1782000000000015
30: epsilon=0.2, alpha=0.01, gamma=0.4: avg_reward=-0.1830700000000005
31: epsilon=0.2, alpha=0.01, gamma=0.6: avg_reward=-0.2063700000000016
32: epsilon=0.2, alpha=0.01, gamma=0.8: avg_reward=-0.22692999999999994
33: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.2: avg_reward=-0.41181000000000056
34: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.4: avg_reward=-0.4535600000000022
35: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.6: avg_reward=-0.45127000000000017
36: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.8: avg_reward=-0.5214299999999923
37: epsilon=0.30000000000000004, alpha=0.0001, gamma=0.2: avg_reward=-0.43819999999999926
